videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
DEhIUtfvObI,,,,,,,,,,,1632340796,,,20210922195901,cur
73jvWQQ9CHY,,,,,,,,,,,1632340799,,,20210922195901,cur
xkEyVMC4w_0,,,,,,,,,,,1632340829,,,20210922195901,cur
2y5lpZ6fFFw,,,,,,,,,,,1632340870,,,20210922195901,cur
cYzQkpmTSko,,,,,,,,,,,1632340874,,,20210922195901,cur
1hdCcv_H3c4,,,,,,,,,,,1632340891,,,20210922195901,cur
pUv16PzEkIs,,,,,,,,,,,1632340894,,,20210922195901,cur
-OLNkDkI2ds,,,,,,,,,,,1632340924,,,20210922195901,cur
A_R1YRBrH-M,,,,,,,,,,,1632340927,,,20210922195901,cur
3V_HqaQBm9c,,,,,,,,,,,1632340959,,,20210922195901,cur
D0rQ2NxTiPM,,,,,,,,,,,1632341006,,,20210922195901,cur
02EJYTS2cko,,,,,,,,,,,1632341034,,,20210922195901,cur
7jv0qMfYCa4,,,,,,,,,,,1632341037,,,20210922195901,cur
jTMupAZ4be0,,,,,,,,,,,1632341041,,,20210922195901,cur
DnutopE_7B4,,,,,,,,,,,1632341058,,,20210922195901,cur
6kK66V7sP3M,,,,,,,,,,,1632341061,,,20210922195901,cur
686gc0O9c4Y,,,,,,,,,,,1632341065,,,20210922195901,cur
WqhK30LncyI,,,,,,,,,,,1632341081,,,20210922195901,cur
calyuofwm50,,,,,,,,,,,1632341084,,,20210922195901,cur
H3rypFgsywU,,,,,,,,,,,1632341088,,,20210922195901,cur
NYRLdWdFrn0,,,,,,,,,,,1632341226,,,20210922195901,cur
25Un_0GDYbQ,,,,,,,,,,,1632341229,,,20210922195901,cur
aEDVkkUHQcc,,,,,,,,,,,1632341262,,,20210922195901,cur
-kuRcmX789E,,,,,,,,,,,1632341278,,,20210922195901,cur
hk4YfDEJR_I,,,,,,,,,,,1632341281,,,20210922195901,cur
P3BaSb8Up0U,,,,,,,,,,,1632341285,,,20210922195901,cur
3s-BicUPqzQ,,,,,,,,,,,1632341289,,,20210922195901,cur
qsFJylA3uF4,,,,,,,,,,,1632341317,,,20210922195901,cur
cBKPPgtdyQE,,,,,,,,,,,1632341320,,,20210922195901,cur
dTddXYOkcL4,,,,,,,,,,,1632341375,,,20210922195901,cur
b9tQqIofd8E,,,,,,,,,,,1632341378,,,20210922195901,cur
LG7O6PtZ07g,,,,,,,,,,,1632341407,,,20210922195901,cur
xk6JInTLmtY,,,,,,,,,,,1632341424,,,20210922195901,cur
CfRTzkMCZ1o,,,,,,,,,,,1632341427,,,20210922195901,cur
3yjSEHzzcVo,,,,,,,,,,,1632341451,,,20210922195901,cur
097fqmKirJI,,,,,,,,,,,1632341455,,,20210922195901,cur
iQOO980fPig,,,,,,,,,,,1632341485,,,20210922195901,cur
3JHd7Tt14KU,,,,,,,,,,,1632341488,,,20210922195901,cur
