videoid,videoname,channelid,channelname,views,comments,likes,dislikes,adtype,advertiser,adfullurl,datecollected,dateuploaded,uploadts,testid,dataset
2DHysCMCDkI,,,,,,,,,,,1632288101,,,20210922045901,cur
BohNowRtf4E,,,,,,,,,,,1632288118,,,20210922045901,cur
fSzExGmlY9k,,,,,,,,,,,1632288134,,,20210922045901,cur
ItFOugXN2vg,,,,,,,,,,,1632288137,,,20210922045901,cur
4vHVnFfvb8o,,,,,,,,,,,1632288140,,,20210922045901,cur
APXzuQmRVO0,,,,,,,,,,,1632288157,,,20210922045901,cur
LOM2n6VnnSs,,,,,,,,,,,1632288188,,,20210922045901,cur
5rap9naCif8,,,,,,,,,,,1632288191,,,20210922045901,cur
BQOqhu1Ypf8,,,,,,,,,,,1632288194,,,20210922045901,cur
nX3F1zBk_Ts,,,,,,,,,,,1632288211,,,20210922045901,cur
3bqzbTtBqv4,,,,,,,,,,,1632288214,,,20210922045901,cur
Fz3dU3MqIfM,,,,,,,,,,,1632288217,,,20210922045901,cur
LLs-eHJvqGk,,,,,,,,,,,1632288220,,,20210922045901,cur
-0rCHvfAPjs,,,,,,,,,,,1632288279,,,20210922045901,cur
1pDANHuElZg,,,,,,,,,,,1632288282,,,20210922045901,cur
M4DrNQZu2xA,,,,,,,,,,,1632288285,,,20210922045901,cur
kx3Wj4CK_sQ,,,,,,,,,,,1632288302,,,20210922045901,cur
bOeuIMxz7n4,,,,,,,,,,,1632288318,,,20210922045901,cur
-6EZ-GDI4Lo,,,,,,,,,,,1632288334,,,20210922045901,cur
FFHQi-EXtLM,,,,,,,,,,,1632288337,,,20210922045901,cur
xfvN4KvSUoY,,,,,,,,,,,1632288341,,,20210922045901,cur
fG-XHKmODEE,,,,,,,,,,,1632288357,,,20210922045901,cur
nSvx7Ck3PYo,,,,,,,,,,,1632288360,,,20210922045901,cur
ZdTsmQonoRk,,,,,,,,,,,1632288364,,,20210922045901,cur
-_mbHz0U9yg,,,,,,,,,,,1632288401,,,20210922045901,cur
nVhGjGAxF-4,,,,,,,,,,,1632288404,,,20210922045901,cur
8J7ZfZY4kVg,,,,,,,,,,,1632288428,,,20210922045901,cur
aWw3akDsAH4,,,,,,,,,,,1632288431,,,20210922045901,cur
bUk2r1v5kBo,,,,,,,,,,,1632288487,,,20210922045901,cur
0XMXEy81IBw,,,,,,,,,,,1632288490,,,20210922045901,cur
j9jHdtONL48,,,,,,,,,,,1632288494,,,20210922045901,cur
48ZhqesCm4c,,,,,,,,,,,1632288522,,,20210922045901,cur
1JHGow0XQrQ,,,,,,,,,,,1632288526,,,20210922045901,cur
_Fugbf36j7A,,,,,,,,,,,1632288571,,,20210922045901,cur
94lvVyqyvPw,,,,,,,,,,,1632288587,,,20210922045901,cur
Bg1JBwUaAS8,,,,,,,,,,,1632288590,,,20210922045901,cur
KyjnrkLHQOI,,,,,,,,,,,1632288594,,,20210922045901,cur
AYSHZwsSeEI,,,,,,,,,,,1632288661,,,20210922045901,cur
03LqPRL3RXA,,,,,,,,,,,1632288664,,,20210922045901,cur
eUaBXVk4C9o,,,,,,,,,,,1632288693,,,20210922045901,cur
ODOpyKd0jYM,,,,,,,,,,,1632288721,,,20210922045901,cur
1j4HSh7ajx0,,,,,,,,,,,1632288802,,,20210922045901,cur
7LJ6WMpO3iM,,,,,,,,,,,1632288805,,,20210922045901,cur
EHJuvrOkims,,,,,,,,,,,1632288809,,,20210922045901,cur
3xZQIXmv5C4,,,,,,,,,,,1632290371,,,20210922055901,cur
5cH3aLHmbQw,,,,,,,,,,,1632290387,,,20210922055901,cur
XmDJXTJbiw0,,,,,,,,,,,1632290390,,,20210922055901,cur
1HV8MG0d-LE,,,,,,,,,,,1632290444,,,20210922055901,cur
CPKmzWI0PrM,,,,,,,,,,,1632290447,,,20210922055901,cur
3Mt1A_wv5Oc,,,,,,,,,,,1632290451,,,20210922055901,cur
0e1Py7a2Q10,,,,,,,,,,,1632290454,,,20210922055901,cur
7yye7c6Tc58,,,,,,,,,,,1632290471,,,20210922055901,cur
-JycQjv1n7Q,,,,,,,,,,,1632290474,,,20210922055901,cur
1SaPg8bc9xE,,,,,,,,,,,1632290494,,,20210922055901,cur
CakswP4c0ps,,,,,,,,,,,1632290497,,,20210922055901,cur
1BKBehvys4c,,,,,,,,,,,1632290539,,,20210922055901,cur
8CcO6BXnSEU,,,,,,,,,,,1632290556,,,20210922055901,cur
JebJv-YH1zI,,,,,,,,,,,1632290571,,,20210922055901,cur
uY-fWCTc56I,,,,,,,,,,,1632290614,,,20210922055901,cur
e_Ez9NQ5zW8,,,,,,,,,,,1632308351,,,20210922105901,cur
0b5Apj7OtTs,,,,,,,,,,,1632308367,,,20210922105901,cur
19d4VyLudFc,,,,,,,,,,,1632308383,,,20210922105901,cur
2kTaucB0KTE,,,,,,,,,,,1632308441,,,20210922105901,cur
-_NAShMNCzY,,,,,,,,,,,1632308457,,,20210922105901,cur
Vx8TpLeWqAo,,,,,,,,,,,1632308460,,,20210922105901,cur
1-oE7n0-3qA,,,,,,,,,,,1632308503,,,20210922105901,cur
OlC7NHgzULU,,,,,,,,,,,1632308506,,,20210922105901,cur
2aRi4kvAmI0,,,,,,,,,,,1632308522,,,20210922105901,cur
4dj_RAKAPRI,,,,,,,,,,,1632308526,,,20210922105901,cur
E5Q0SLGLPc0,,,,,,,,,,,1632308542,,,20210922105901,cur
A_M_TuPM6CQ,,,,,,,,,,,1632308545,,,20210922105901,cur
6afVlVEnyhM,,,,,,,,,,,1632308549,,,20210922105901,cur
Btuu8jEAGUQ,,,,,,,,,,,1632308629,,,20210922105901,cur
6odzQCu8PSo,,,,,,,,,,,1632308632,,,20210922105901,cur
ckcoomH47qk,,,,,,,,,,,1632308636,,,20210922105901,cur
cszlsGiD1-E,,,,,,,,,,,1632308655,,,20210922105901,cur
1hdCcv_H3c4,,,,,,,,,,,1632308658,,,20210922105901,cur
5m9xTyowa5Q,,,,,,,,,,,1632308662,,,20210922105901,cur
Am89xV1ROQo,,,,,,,,,,,1632308708,,,20210922105901,cur
6oUKNGht-rQ,,,,,,,,,,,1632308724,,,20210922105901,cur
2mbqJDr8zlQ,,,,,,,,,,,1632308727,,,20210922105901,cur
KrRyjXI9cC0,,,,,,,,,,,1632308730,,,20210922105901,cur
ODOpyKd0jYM,,,,,,,,,,,1632308775,,,20210922105901,cur
3e3g2jhGfhA,,,,,,,,,,,1632308778,,,20210922105901,cur
IwRELm9iud4,,,,,,,,,,,1632308823,,,20210922105901,cur
bjKBC0Pl46M,,,,,,,,,,,1632308840,,,20210922105901,cur
129Xt8xUSyI,,,,,,,,,,,1632308856,,,20210922105901,cur
hllzTAI2o8A,,,,,,,,,,,1632308884,,,20210922105901,cur
94lvVyqyvPw,,,,,,,,,,,1632308901,,,20210922105901,cur
btAYzE8oO9o,,,,,,,,,,,1632308904,,,20210922105901,cur
5IUzAtS2Usk,,,,,,,,,,,1632308955,,,20210922105901,cur
2z8tSNpkh6U,,,,,,,,,,,1632308958,,,20210922105901,cur
-CXkDoQGDuE,,,,,,,,,,,1632309012,,,20210922105901,cur
6K50_RRpmKc,,,,,,,,,,,1632309015,,,20210922105901,cur
DF5_QtvbWr0,,,,,,,,,,,1632309104,,,20210922105901,cur
VdoGPEUV4pQ,,,,,,,,,,,1632309107,,,20210922105901,cur
E5kd4BxkK4A,,,,,,,,,,,1632309110,,,20210922105901,cur
6IovWPu2w44,,,,,,,,,,,1632309114,,,20210922105901,cur
1IV1m4JnsRI,,,,,,,,,,,1632309117,,,20210922105901,cur
ip3u0AkFwOA,,,,,,,,,,,1632309121,,,20210922105901,cur
1l-GXu0oQ28,,,,,,,,,,,1632309149,,,20210922105901,cur
1w9OHIYjycg,,,,,,,,,,,1632309166,,,20210922105901,cur
d9n0YBlTnuE,,,,,,,,,,,1632309209,,,20210922105901,cur
2Gdfr8rSMho,,,,,,,,,,,1632309251,,,20210922105901,cur
EdHAZoTt_PM,,,,,,,,,,,1632309255,,,20210922105901,cur
-FjqbSMXW6Q,,,,,,,,,,,1632309271,,,20210922105901,cur
l92AfKzJTgw,,,,,,,,,,,1632309300,,,20210922105901,cur
3gJ33GxG4sk,,,,,,,,,,,1632309303,,,20210922105901,cur
lruJL_SWweg,,,,,,,,,,,1632309334,,,20210922105901,cur
alowAEaNWOc,,,,,,,,,,,1632309337,,,20210922105901,cur
K0gos2mEDoM,,,,,,,,,,,1632309354,,,20210922105901,cur
82XXjJPJncg,,,,,,,,,,,1632309357,,,20210922105901,cur
M1GfvI3X4Qk,,,,,,,,,,,1632309456,,,20210922105901,cur
4EDGJpKeopI,,,,,,,,,,,1632309497,,,20210922105901,cur
dfHusbOBVhs,,,,,,,,,,,1632309500,,,20210922105901,cur
3fj5_opZG50,,,,,,,,,,,1632309504,,,20210922105901,cur
NtBYv9kcPxQ,,,,,,,,,,,1632309520,,,20210922105901,cur
Tm5_0LR4OKw,,,,,,,,,,,1632309523,,,20210922105901,cur
lVdzePjnFAE,,,,,,,,,,,1632309527,,,20210922105901,cur
bEknbNMuoDw,,,,,,,,,,,1632309618,,,20210922105901,cur
Xlo29kuocTs,,,,,,,,,,,1632309648,,,20210922105901,cur
CRToxALeWcM,,,,,,,,,,,1632309651,,,20210922105901,cur
0GjMorUh5sI,,,,,,,,,,,1632309655,,,20210922105901,cur
a6Z9fLWC_sE,,,,,,,,,,,1632309658,,,20210922105901,cur
LEapMhCFrSc,,,,,,,,,,,1632309688,,,20210922105901,cur
1TL62yy_8s8,,,,,,,,,,,1632309691,,,20210922105901,cur
sh05bng8wts,,,,,,,,,,,1632309749,,,20210922105901,cur
sMn0NnQH5AA,,,,,,,,,,,1632309778,,,20210922105901,cur
6SUKE_9Bg6M,,,,,,,,,,,1632309794,,,20210922105901,cur
6Sr2keX-4IE,,,,,,,,,,,1632309797,,,20210922105901,cur
